trip_count ,duration_sum        ,duration_avg        ,dim_year,dim_month,dim_hour,dim_user                                          
        659,              442583,                 671,    2022,       12,       5,Casual Member                                     
        384,              216543,                 563,    2022,       12,       2,Annual Member                                     
       1266,             2683884,                2119,    2019,       10,       9,Casual Member                                     
       7924,             5090129,                 642,    2019,       10,      10,Annual Member                                     
      10549,             7200911,                 682,    2022,       10,      15,Annual Member                                     
        905,              983170,                1086,    2022,       11,       3,Casual Member                                     
       7026,             5056879,                 719,    2022,       11,       7,Casual Member                                     
       4515,             2838267,                 628,    2022,       11,      10,Annual Member                                     
        470,              276254,                 587,    2022,       12,       5,Annual Member                                     
       1043,              917992,                 880,    2022,       12,       2,Casual Member                                     
       7454,             6707885,                 899,    2022,       12,      19,Casual Member                                     
      16063,            11125006,                 692,    2019,       10,       9,Annual Member                                     
       9400,             6428061,                 683,    2019,       10,      13,Annual Member                                     
        689,              812559,                1179,    2019,       10,      23,Casual Member                                     
       4474,             3513041,                 785,    2021,        7,       0,Annual Member                                     
       2734,             5666833,                2072,    2021,        7,       1,Casual Member                                     
        743,              512267,                 689,    2021,        7,       4,Annual Member                                     
      16485,            24388656,                1479,    2021,        7,      18,Casual Member                                     
      13642,            11298582,                 828,    2021,        7,      21,Annual Member                                     
       8096,            12637286,                1560,    2021,        7,      22,Casual Member                                     
       1989,             3640284,                1830,    2019,        6,       9,Casual Member                                     
      10214,             7234754,                 708,    2019,        6,      12,Annual Member                                     
         49,               33469,                 683,    2020,       12,       5,Casual Member                                     
       3681,             2551959,                 693,    2020,       12,       8,Annual Member                                     
        584,              545194,                 933,    2020,       12,      22,Casual Member                                     
       4577,             3490156,                 762,    2021,        1,      13,Annual Member                                     
       2255,             2377007,                1054,    2021,        1,      14,Casual Member                                     
       5767,             4186779,                 725,    2021,        1,      17,Annual Member                                     
       1847,             1696347,                 918,    2021,        1,      18,Casual Member                                     
       2445,             1488731,                 608,    2022,        5,       6,Annual Member                                     
      28876,            35567547,                1231,    2022,        5,      16,Casual Member                                     
      22810,            27096128,                1187,    2022,        5,      20,Casual Member                                     
        454,              352772,                 777,    2019,        7,       3,Annual Member                                     
      10030,             7489317,                 746,    2019,        7,       7,Annual Member                                     
       2401,             3458863,                1440,    2019,        7,       8,Casual Member                                     
        143,              193615,                1353,    2019,        7,       4,Casual Member                                     
       3630,             2782016,                 766,    2021,        2,      12,Annual Member                                     
        117,              720716,                6159,    2021,        2,       9,Casual Member                                     
        141,              144148,                1022,    2020,        2,       3,Annual Member                                     
       3181,             2160197,                 679,    2020,        2,      20,Annual Member                                     
         15,               15628,                1041,    2020,        2,       4,Casual Member                                     
       1357,              942951,                 694,    2021,       12,       0,Annual Member                                     
       1493,             1236801,                 828,    2021,       12,      10,Casual Member                                     
       3652,             2855751,                 781,    2019,        3,      14,Annual Member                                     
       7418,             5386722,                 726,    2019,        3,      18,Annual Member                                     
        162,              227228,                1402,    2019,        3,      20,Casual Member                                     
        605,              533075,                 881,    2019,        4,       1,Annual Member                                     
      11803,             8575682,                 726,    2019,        4,      18,Annual Member                                     
        279,              374791,                1343,    2019,        4,      23,Casual Member                                     
         68,               65892,                 969,    2019,        4,       6,Casual Member                                     
       1784,             3015889,                1690,    2019,        5,      10,Casual Member                                     
        981,             1473395,                1501,    2021,        5,       7,Casual Member                                     
       1199,             1032479,                 861,    2021,        5,       1,Annual Member                                     
       1184,              851446,                 719,    2021,        6,       5,Annual Member                                     
      10929,             8666974,                 793,    2021,        6,       9,Annual Member                                     
       3576,             6338923,                1772,    2021,        6,      10,Casual Member                                     
      16805,            13648133,                 812,    2021,        6,      13,Annual Member                                     
       9696,            18951780,                1954,    2021,        6,      14,Casual Member                                     
       5491,             4079047,                 742,    2020,        3,      15,Annual Member                                     
       1939,             4641872,                2393,    2020,        3,      16,Casual Member                                     
        843,             1943856,                2305,    2020,        3,      20,Casual Member                                     
       3422,             2500613,                 730,    2020,        3,      11,Annual Member                                     
        204,              145035,                 710,    2020,        4,       1,Annual Member                                     
        606,             1579173,                2605,    2020,        4,      20,Casual Member                                     
        463,              356525,                 770,    2020,        5,       1,Annual Member                                     
        345,              285268,                 826,    2020,        5,       5,Annual Member                                     
       2485,             9110809,                3666,    2020,        5,      10,Casual Member                                     
       1909,             1664813,                 872,    2020,        5,      22,Annual Member                                     
      19366,            15563358,                 803,    2021,        8,      20,Annual Member                                     
       1230,              877192,                 713,    2021,        8,       3,Annual Member                                     
        728,             1298900,                1784,    2021,        8,       4,Casual Member                                     
        484,              812175,                1678,    2021,        9,       4,Casual Member                                     
       9840,             6559855,                 666,    2021,        9,       7,Annual Member                                     
       4191,             4278818,                1020,    2021,        9,       8,Casual Member                                     
      10240,            14695919,                1435,    2021,        9,      12,Casual Member                                     
       2448,             2033319,                 830,    2019,        1,       7,Annual Member                                     
          6,                7356,                1226,    2019,        1,       4,Casual Member                                     
       1502,             1055511,                 702,    2019,        2,       7,Annual Member                                     
       1706,             1298665,                 761,    2019,        2,      11,Annual Member                                     
         91,              896758,                9854,    2019,        2,      16,Casual Member                                     
         84,              220917,                2629,    2019,        2,      12,Casual Member                                     
         50,              774408,               15488,    2019,        2,       8,Casual Member                                     
      14191,            10992053,                 774,    2020,       10,      14,Annual Member                                     
       4685,             5784499,                1234,    2020,       10,      19,Casual Member                                     
        310,              980784,                3163,    2020,       10,       2,Casual Member                                     
       1268,              812130,                 640,    2020,       11,       0,Annual Member                                     
       1021,             1621934,                1588,    2020,       11,      23,Casual Member                                     
      11168,             9256341,                 828,    2022,        6,       7,Casual Member                                     
      18876,            20545638,                1088,    2022,        6,      11,Casual Member                                     
      16370,            11698534,                 714,    2022,        7,      13,Annual Member                                     
      22859,            32600617,                1426,    2022,        7,      14,Casual Member                                     
      30854,            23134384,                 749,    2022,        7,      17,Annual Member                                     
       4662,             4754498,                1019,    2019,        8,      23,Annual Member                                     
       3930,             2677071,                 681,    2019,        8,       6,Annual Member                                     
       9804,             6649455,                 678,    2019,        9,      10,Annual Member                                     
       4383,             7681465,                1752,    2019,        9,      11,Casual Member                                     
       6759,            11914461,                1762,    2019,        9,      15,Casual Member                                     
       4898,             3902852,                 796,    2022,        8,       0,Annual Member                                     
       5180,             8722401,                1683,    2022,        8,       1,Casual Member                                     
      29285,            22190273,                 757,    2022,        8,      17,Annual Member                                     
      38384,            47750609,                1244,    2022,        8,      18,Casual Member                                     
        773,              513100,                 663,    2022,        9,       3,Annual Member                                     
       8031,             5291811,                 658,    2022,        9,       7,Annual Member                                     
       4141,             8488937,                2049,    2020,        6,      10,Casual Member                                     
      12823,            28267093,                2204,    2020,        6,      14,Casual Member                                     
       4931,             9567642,                1940,    2020,        7,       0,Casual Member                                     
      17130,            14559579,                 849,    2020,        7,      16,Annual Member                                     
      16232,            30071722,                1852,    2020,        7,      17,Casual Member                                     
      20292,            18594869,                 916,    2020,        7,      20,Annual Member                                     
       3313,             2256110,                 680,    2022,        1,      18,Annual Member                                     
       3915,             7092292,                1811,    2021,        7,       0,Casual Member                                     
       2060,             3632080,                1763,    2021,        7,       2,Casual Member                                     
       1477,             1126580,                 762,    2021,        7,       5,Annual Member                                     
      15274,            22930184,                1501,    2021,        7,      17,Casual Member                                     
      16522,            25265906,                1529,    2021,        7,      19,Casual Member                                     
       9236,             8181346,                 885,    2021,        7,      22,Annual Member                                     
       8050,             5750950,                 714,    2019,        6,      11,Annual Member                                     
       9970,             7303689,                 732,    2019,        6,      13,Annual Member                                     
        213,              151167,                 709,    2020,       12,       6,Casual Member                                     
        799,              975744,                1221,    2020,       12,       8,Casual Member                                     
        277,              181653,                 655,    2021,        1,       1,Annual Member                                     
       2590,             3084914,                1191,    2022,        5,       2,Casual Member                                     
        759,              915036,                1205,    2022,        5,       4,Casual Member                                     
        792,              469159,                 592,    2022,        5,       5,Annual Member                                     
       8418,             6291543,                 747,    2022,        5,      20,Annual Member                                     
       4904,             3565276,                 727,    2022,        5,      22,Annual Member                                     
        315,              475506,                1509,    2019,        7,       3,Casual Member                                     
      26026,            19392054,                 745,    2019,        7,       8,Annual Member                                     
       9133,             6526379,                 714,    2019,        7,      10,Annual Member                                     
        207,              314726,                1520,    2019,        7,       5,Casual Member                                     
       3866,             2604802,                 673,    2019,        7,       6,Annual Member                                     
       2687,             1956233,                 728,    2021,        2,      11,Annual Member                                     
        144,               88357,                 613,    2020,        2,       4,Annual Member                                     
        369,              376519,                1020,    2020,        2,      22,Casual Member                                     
       2718,             2717670,                 999,    2021,       12,      13,Casual Member                                     
        429,              598665,                1395,    2020,        3,      22,Casual Member                                     
        142,              165187,                1163,    2020,        3,       7,Casual Member                                     
        256,              403143,                1574,    2020,        3,       8,Casual Member                                     
         68,               80007,                1176,    2020,        3,       6,Casual Member                                     
       2365,             5594899,                2365,    2020,        4,      17,Casual Member                                     
       1905,             4357292,                2287,    2020,        4,      18,Casual Member                                     
       1288,             3516237,                2729,    2020,        4,      19,Casual Member                                     
        635,              484152,                 762,    2020,        4,      23,Annual Member                                     
         21,              153711,                7319,    2020,        4,       3,Casual Member                                     
       9450,            22932858,                2426,    2020,        5,      14,Casual Member                                     
      10227,            23759729,                2323,    2020,        5,      16,Casual Member                                     
       5333,             3459591,                 648,    2021,        8,       6,Annual Member                                     
       2313,             1686841,                 729,    2021,        9,       1,Annual Member                                     
       1534,             1134782,                 739,    2021,        9,       2,Annual Member                                     
        950,              647204,                 681,    2021,        9,       3,Annual Member                                     
         46,               43592,                 947,    2019,        3,       0,Casual Member                                     
        526,             1164020,                2212,    2019,        3,      15,Casual Member                                     
       4672,             3346476,                 716,    2019,        3,      19,Annual Member                                     
         31,              511523,               16500,    2019,        3,       1,Casual Member                                     
        713,             1164800,                1633,    2019,        4,      10,Casual Member                                     
       1517,             2948196,                1943,    2019,        4,      12,Casual Member                                     
       9897,             6864704,                 693,    2019,        4,      16,Annual Member                                     
        335,              452579,                1350,    2019,        5,       7,Casual Member                                     
       1066,             2023588,                1898,    2019,        5,       9,Casual Member                                     
       1481,             2464759,                1664,    2019,        5,      21,Casual Member                                     
        919,             1154195,                1255,    2019,        5,      23,Casual Member                                     
       8638,            16673569,                1930,    2021,        5,      21,Casual Member                                     
       3764,             7092392,                1884,    2021,        5,      23,Casual Member                                     
